,violin,excerpt,phase,take,folder
23,Klimke,Corde_a_vide_beau_son,1,1,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Klimke/Corde_a_vide_beau_son/1
22,Klimke,Corde_a_vide_beau_son,1,2,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Klimke/Corde_a_vide_beau_son/2
6,Klimke,Bach,1,1,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Klimke/Bach/1
7,Klimke,Bach,1,2,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Klimke/Bach/2
3,Klimke,Glazounov,1,1,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Klimke/Glazounov/1
2,Klimke,Glazounov,1,2,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Klimke/Glazounov/2
1,Klimke,Mozart,1,1,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Klimke/Mozart/1
0,Klimke,Mozart,1,2,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Klimke/Mozart/2
4,Klimke,Sibelius,1,1,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Klimke/Sibelius/1
5,Klimke,Sibelius,1,2,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Klimke/Sibelius/2
9,Klimke,Tchaikovsky,1,1,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Klimke/Tchaikovsky/1
8,Klimke,Tchaikovsky,1,2,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Klimke/Tchaikovsky/2
21,Klimke,Familiarisation,1,1,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Klimke/Familiarisation/1
20,Klimke,Familiarisation,1,2,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Klimke/Familiarisation/2
19,Klimke,Gamme,1,1,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Klimke/Gamme/1
18,Klimke,Gamme,1,2,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Klimke/Gamme/2
25,Klimke,Note_longue,1,1,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Klimke/Note_longue/1
24,Klimke,Note_longue,1,2,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Klimke/Note_longue/2
16,Klimke,Corde_a_vide_beau_son,1,3,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Klimke/Corde_a_vide_beau_son/3
13,Klimke,Bach,1,3,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Klimke/Bach/3
11,Klimke,Glazounov,1,3,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Klimke/Glazounov/3
10,Klimke,Mozart,1,3,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Klimke/Mozart/3
